,sleep_frac,subject,subject_type
0,0.3712857539572341,0,sd
1,0.011941127464593169,1,sd
2,0.4620938628158845,2,sd
3,0.38544848653151903,3,sd
4,0.5098583726742572,4,sd
5,0.3163010274923632,5,sd
6,0.5726187170230491,6,sd
7,0.22910302693696197,7,sd
8,0.2513190780338795,8,sd
9,0.19022493751735628,9,sd
10,0.2724243265759511,10,sd
11,0.10913635101360733,11,sd
12,0.02832546514856984,12,sd
0,0.4254373785059706,0,off-induction
1,0.3898916967509025,1,off-induction
2,0.3743404609830603,2,off-induction
3,0.5159677867259095,3,off-induction
4,0.09858372674257151,4,off-induction
5,0.37239655651208,5,off-induction
6,0.6731463482366009,6,off-induction
7,0.04970841432935296,7,off-induction
