,sleep_frac,subject,subject_type
0,0.6792278135271516,0,sd
1,0.587472802185084,1,sd
2,0.5758066756168696,2,sd
3,0.6506643210962455,3,sd
4,0.6597842692467941,4,sd
5,0.6765890468033887,5,sd
6,0.7198277857506596,6,sd
7,0.5145595111337438,7,sd
8,0.6002036942734132,8,sd
9,0.6033054025276607,9,sd
10,0.4339150965233091,10,sd
11,0.5508078329706958,11,sd
12,0.417156613119763,12,sd
0,0.559603722049905,0,off-induction
1,0.37771399472246653,1,off-induction
2,0.44368316281653625,2,off-induction
3,0.6764964584972918,3,off-induction
4,0.5165038655617795,4,off-induction
5,0.5616869589370862,5,off-induction
6,0.5910374519698162,6,off-induction
7,0.45377528818110274,7,off-induction
