,sleep_frac,subject,condition
0,0.561362899865747,0,baseline
1,0.41673996574232675,1,baseline
2,0.39863895190037496,2,baseline
3,0.6502939678718578,3,baseline
4,0.5416878848201472,4,baseline
5,0.5098838016758483,5,baseline
6,0.4963659089856951,6,baseline
7,0.5554835424285912,7,baseline
0,0.559603722049905,0,post-manipulation
1,0.37771399472246653,1,post-manipulation
2,0.44368316281653625,2,post-manipulation
3,0.6764964584972918,3,post-manipulation
4,0.5165038655617795,4,post-manipulation
5,0.5616869589370862,5,post-manipulation
6,0.5910374519698162,6,post-manipulation
7,0.45377528818110274,7,post-manipulation
