,sleep_frac,subject,subject_type
0,2.869187809071485,0,sd
1,1.4030819616660628,1,sd
2,5.431118538397639,2,sd
3,1.999360864848935,3,sd
4,3.263337711473858,4,sd
5,3.857151765704144,5,sd
6,1.1519641076121059,6,sd
7,1.2943241162468981,7,sd
0,0.8640997224252346,0,off-induction
1,1.065213013804434,1,off-induction
2,3.412734735680198,2,off-induction
3,2.0855354905246664,3,off-induction
4,3.195576693889349,4,off-induction
5,2.1812835907367343,5,off-induction
6,2.0271502723203905,6,off-induction
7,3.037291358488151,7,off-induction
