,sleep_frac,subject,subject_type
0,1.20787966602653,0,sd
1,0.7572597807555465,1,sd
2,1.0043936152513266,2,sd
3,1.0157371122465806,3,sd
4,0.9989621061805011,4,sd
5,0.5628081456406989,5,sd
6,1.2392096516790765,6,sd
0,0.693584382082061,0,off-induction
1,0.8143757066577507,1,off-induction
2,0.989536461252449,2,off-induction
3,1.3831528935504958,3,off-induction
4,1.411477460663534,4,off-induction
5,1.323761191032034,5,off-induction
6,1.398902182025869,6,off-induction
7,1.5271476283003786,7,off-induction
