,pauses,subject,condition
0,5.683333333333334,0,early_sd
1,9.8,1,early_sd
2,0.21666666666666667,2,early_sd
3,4.216666666666667,3,early_sd
4,6.433333333333334,4,early_sd
5,2.033333333333333,5,early_sd
6,3.816666666666667,6,early_sd
7,2.6666666666666665,7,early_sd
8,1.6,8,early_sd
9,4.7,9,early_sd
0,3.283333333333333,0,late_sd
1,10.033333333333333,1,late_sd
2,0.25,2,late_sd
3,4.616666666666666,3,late_sd
4,5.766666666666667,4,late_sd
5,4.633333333333334,5,late_sd
6,2.716666666666667,6,late_sd
7,3.816666666666667,7,late_sd
8,3.433333333333333,8,late_sd
9,3.6333333333333333,9,late_sd
