,pauses,subject,condition
0,5.683333333333334,0,early_sd
1,9.8,1,early_sd
2,0.21666666666666667,2,early_sd
3,4.216666666666667,3,early_sd
4,6.433333333333334,4,early_sd
5,2.033333333333333,5,early_sd
6,3.816666666666667,6,early_sd
7,2.6666666666666665,7,early_sd
8,1.6,8,early_sd
9,4.7,9,early_sd
0,5.876156911546012,0,stim
1,7.157905005228309,1,stim
2,0.29886199593565543,2,stim
3,3.1950712382938216,3,stim
4,5.248757347154866,4,stim
5,3.5030872497647985,5,stim
6,2.8881818518997218,6,stim
7,3.3816359248877745,7,stim
8,3.662860773960123,8,stim
9,4.263961017246874,9,stim
