,pauses,subject,condition
0,8.216666666666667,0,late_sd
1,4.783333333333333,1,late_sd
2,5.8,2,late_sd
3,6.716666666666667,3,late_sd
4,3.4,4,late_sd
5,8.816666666666666,5,late_sd
6,0.08333333333333333,6,late_sd
7,8.3,7,late_sd
8,0.016666666666666666,8,late_sd
0,9.630974385577067,0,stim
1,4.166882315420693,1,stim
2,5.640758894644374,2,stim
3,6.602821836187164,3,stim
4,0.3069781624410215,4,stim
5,6.621724378520248,5,stim
6,0.1549142766045464,6,stim
7,6.037866407437216,7,stim
8,0.06426439809471247,8,stim
