,novelty_ratio,subject_number,subject_type
0,0.44533333333333336,0,sleep
1,0.4483333333333333,1,sleep
2,0.6493333333333333,2,sleep
3,0.6686666666666666,3,sleep
4,0.4585,4,sleep
5,0.63,5,sleep
6,0.5328333333333334,6,sleep
7,0.6888333333333333,7,sleep
8,0.7753333333333333,8,sleep
0,0.45366666666666666,0,sd
1,0.5096666666666667,1,sd
2,0.44866666666666666,2,sd
3,0.4713333333333333,3,sd
4,0.5826666666666667,4,sd
5,0.3305,5,sd
6,0.342,6,sd
7,0.42816666666666664,7,sd
8,0.7038333333333333,8,sd
9,0.5291666666666667,9,sd
10,0.3398333333333333,10,sd
11,0.36983333333333335,11,sd
12,0.5591666666666667,12,sd
0,0.5923333333333334,0,sd-off-induction
1,0.6305,1,sd-off-induction
2,0.5865,2,sd-off-induction
3,0.563,3,sd-off-induction
4,0.5723333333333334,4,sd-off-induction
5,0.7285,5,sd-off-induction
6,0.549,6,sd-off-induction
7,0.7106666666666667,7,sd-off-induction
