,sub_type,avg_bout_dur
0,som,156.521739
0,som,94.736842
0,som,120.0
0,som,85.714285
0,som,78.260869
0,som,120.0
0,som,128.571428
0,som,69.230769
0,som,85.714285
0,som,144.0
0,acr,138.461538
0,acr,80.0
0,acr,67.924528
0,acr,58.064516
0,acr,83.72093
0,acr,116.129032
0,acr,97.297297
0,acr,128.571428
0,acr,64.285714
0,halo,163.636363
0,halo,257.142857
0,halo,144.0
0,halo,76.595744
0,halo,87.804878
0,halo,80.0
0,halo,53.731343
0,control,156.521739
0,control,144.0
0,control,80.0
0,control,97.297297
0,control,97.297297
