,spin_rate,subject,probe
0,0.9468599033816425,0,NNXr
1,0.5153811859117253,1,NNXr
2,0.5317919075144508,2,NNXr
3,0.8524305555555556,3,NNXr
4,0.3208685162846804,4,NNXr
5,0.8066373179817136,5,NNXr
6,0.7800136425648022,6,NNXr
7,0.661854103343465,7,NNXr
8,0.874826147426982,8,NNXr
0,2.2209737827715355,0,NNXo
1,0.7043625582380346,1,NNXo
2,0.5726043503821282,2,NNXo
3,0.912568306010929,3,NNXo
4,0.6063829787234042,4,NNXo
5,0.9785972999670727,5,NNXo
6,0.8508417508417508,6,NNXo
7,0.6425452276980662,7,NNXo
8,0.9520137103684662,8,NNXo
