,spin_rate,subject,probe
0,0.971849554911682,0,NNXr
1,0.9092843240327004,1,NNXr
2,0.8824005165581681,2,NNXr
3,0.9244281428316381,3,NNXr
4,0.9324357258432413,4,NNXr
5,0.988678385869583,5,NNXr
6,0.9632320097653349,6,NNXr
7,0.968308909183131,7,NNXr
8,0.9862169040012468,8,NNXr
0,1.1055250257854035,0,NNXo
1,0.9820191633317977,1,NNXo
2,0.9055028441887166,2,NNXo
3,0.9601033470081666,3,NNXo
4,0.9560415095669217,4,NNXo
5,1.0121019684646326,5,NNXo
6,0.9703243717131311,6,NNXo
7,1.0131762053249969,7,NNXo
8,1.0624620867100407,8,NNXo
