,spin_rate,subject,cond
0,1.3135416666666666,0,circ_bl
1,1.2510416666666666,1,circ_bl
2,1.1083333333333334,2,circ_bl
3,1.3343749999999999,3,circ_bl
4,1.2697916666666667,4,circ_bl
5,1.45,5,circ_bl
6,2.595833333333333,6,circ_bl
7,1.5770833333333334,7,circ_bl
8,1.5677083333333333,8,circ_bl
9,1.3708333333333333,9,circ_bl
0,0.08247358213089974,0,rebound
1,0.11224407876663996,1,rebound
2,0.5311053089890267,2,rebound
3,0.22383268100531534,3,rebound
4,0.38478172474632544,4,rebound
5,0.44171972714913715,5,rebound
6,0.11743575758338737,6,rebound
7,0.4805357712737802,7,rebound
8,0.2893252416768142,8,rebound
9,0.5678258385128601,9,rebound
