,spin_rate,subject,probe
0,1.0002689964316953,0,NNXr
1,1.1337406718385303,1,NNXr
2,1.0487355487015113,2,NNXr
3,1.0665758153907217,3,NNXr
4,1.0234199247519296,4,NNXr
5,1.0795800183715276,5,NNXr
6,1.0993987258124354,6,NNXr
7,1.0287447763464637,7,NNXr
8,1.0417610085458469,8,NNXr
9,1.0444809489375269,9,NNXr
0,1.037887410959603,0,NNXo
1,1.1185886356712347,1,NNXo
2,1.0588252784875145,2,NNXo
3,1.0647642134917508,3,NNXo
4,1.0382375978179765,4,NNXo
5,1.0871490317629873,5,NNXo
6,1.0596888345568176,6,NNXo
7,1.0511537548267862,7,NNXo
8,1.0615376158724756,8,NNXo
9,1.052776278026135,9,NNXo
