,spin_rate,subject,probe
0,0.9656725320357443,0,NNXr
1,0.9821779664664472,1,NNXr
2,1.0413603761291703,2,NNXr
3,0.9577887500238428,3,NNXr
4,1.0169941453353717,4,NNXr
5,1.0306290709328114,5,NNXr
6,0.9636707190922706,6,NNXr
7,1.0117390012099665,7,NNXr
8,1.0441296771524493,8,NNXr
9,1.0063877549315254,9,NNXr
0,0.9614855254752329,0,NNXo
1,0.9485819650527753,1,NNXo
2,0.9715646080672619,2,NNXo
3,1.070614399554604,3,NNXo
4,0.9998372737120402,4,NNXo
5,1.0447856596544267,5,NNXo
6,1.0210490980211628,6,NNXo
7,1.0782136948790026,7,NNXo
8,1.0647051304166268,8,NNXo
9,1.0100170552579937,9,NNXo
