N,Test Type,Test Statistic,p-value-uncorrected,Effect Size Method,Effect Size,freq_bin,p-value-corrected,correction_method
9,wilcoxon signed-rank,0.0,0.00390625,RBC,1.0,0.0,0.012019230769230768,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,0.0,0.00390625,RBC,1.0,0.5,0.012019230769230768,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,0.0,0.00390625,RBC,1.0,1.0,0.012019230769230768,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,0.0,0.00390625,RBC,1.0,1.5,0.012019230769230768,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,0.0,0.00390625,RBC,1.0,2.0,0.012019230769230768,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,2.0,0.01171875,RBC,0.9111111111111112,2.5,0.033482142857142856,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,0.0,0.00390625,RBC,1.0,3.0,0.012019230769230768,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,5.0,0.0390625,RBC,0.7777777777777777,3.5,0.09765625,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,0.0,0.00390625,RBC,1.0,4.0,0.012019230769230768,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,0.0,0.00390625,RBC,1.0,4.5,0.012019230769230768,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,0.0,0.00390625,RBC,1.0,5.0,0.012019230769230768,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,0.0,0.00390625,RBC,1.0,5.5,0.012019230769230768,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,0.0,0.00390625,RBC,1.0,6.0,0.012019230769230768,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,0.0,0.00390625,RBC,1.0,6.5,0.012019230769230768,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,0.0,0.00390625,RBC,1.0,7.0,0.012019230769230768,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,3.0,0.01953125,RBC,0.8666666666666667,7.5,0.052083333333333336,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,6.0,0.0546875,RBC,0.7333333333333334,8.0,0.1286764705882353,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,10.0,0.1640625,RBC,0.5555555555555556,8.5,0.25240384615384615,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,15.0,0.42578125,RBC,0.3333333333333333,9.0,0.43669871794871795,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,13.0,0.30078125,RBC,0.4222222222222223,9.5,0.3251689189189189,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,13.0,0.30078125,RBC,0.4222222222222223,10.0,0.3251689189189189,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,12.0,0.25,RBC,0.4666666666666666,10.5,0.29411764705882354,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,9.0,0.12890625,RBC,0.6000000000000001,11.0,0.25240384615384615,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,10.0,0.1640625,RBC,0.5555555555555556,11.5,0.25240384615384615,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,9.0,0.12890625,RBC,0.6000000000000001,12.0,0.25240384615384615,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,13.0,0.30078125,RBC,0.4222222222222223,12.5,0.3251689189189189,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,15.0,0.42578125,RBC,0.3333333333333333,13.0,0.43669871794871795,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,16.0,0.49609375,RBC,0.2888888888888889,13.5,0.49609375,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,12.0,0.25,RBC,0.4666666666666666,14.0,0.29411764705882354,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,12.0,0.25,RBC,0.4666666666666666,14.5,0.29411764705882354,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,11.0,0.203125,RBC,0.5111111111111111,15.0,0.29017857142857145,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,12.0,0.25,RBC,0.4666666666666666,15.5,0.29411764705882354,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,12.0,0.25,RBC,0.4666666666666666,16.0,0.29411764705882354,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,10.0,0.1640625,RBC,0.5555555555555556,16.5,0.25240384615384615,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,10.0,0.1640625,RBC,0.5555555555555556,17.0,0.25240384615384615,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,10.0,0.1640625,RBC,0.5555555555555556,17.5,0.25240384615384615,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,11.0,0.203125,RBC,0.5111111111111111,18.0,0.29017857142857145,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,12.0,0.25,RBC,0.4666666666666666,18.5,0.29411764705882354,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,10.0,0.1640625,RBC,0.5555555555555556,19.0,0.25240384615384615,Benjamini-Hochberg FDR
9,wilcoxon signed-rank,9.0,0.12890625,RBC,0.6000000000000001,19.5,0.25240384615384615,Benjamini-Hochberg FDR
