N,Test Type,Test Statistic,p-value-uncorrected,Effect Size Method,Effect Size,freq_bin,p-value-corrected,correction_method
10,wilcoxon signed-rank,3.0,0.009765625,RBC,0.8909090909090909,0.0,0.06510416666666667,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,2.0,0.005859375,RBC,0.9272727272727272,0.5,0.046875,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,1.0,0.00390625,RBC,0.9636363636363636,1.0,0.0390625,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,1.0,0.00390625,RBC,0.9636363636363636,1.5,0.0390625,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,1.0,0.00390625,RBC,0.9636363636363636,2.0,0.0390625,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,1.0,0.00390625,RBC,0.9636363636363636,2.5,0.0390625,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,6.0,0.02734375,RBC,0.7818181818181817,3.0,0.15625,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,8.0,0.048828125,RBC,0.709090909090909,3.5,0.244140625,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,9.0,0.064453125,RBC,0.6727272727272726,4.0,0.2864583333333333,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,11.0,0.10546875,RBC,0.6000000000000001,4.5,0.3245192307692308,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,15.0,0.232421875,RBC,0.4545454545454546,5.0,0.4893092105263158,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,23.0,0.6953125,RBC,0.16363636363636364,5.5,0.8902138157894737,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,25.0,0.845703125,RBC,0.09090909090909088,6.0,0.8902138157894737,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,24.0,0.76953125,RBC,-0.12727272727272726,6.5,0.8902138157894737,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,25.0,0.845703125,RBC,-0.09090909090909088,7.0,0.8902138157894737,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,23.0,0.6953125,RBC,0.16363636363636364,7.5,0.8902138157894737,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,25.0,0.845703125,RBC,0.09090909090909088,8.0,0.8902138157894737,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,22.0,0.625,RBC,-0.19999999999999996,8.5,0.8902138157894737,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,27.0,1.0,RBC,-0.018181818181818132,9.0,1.0,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,21.0,0.556640625,RBC,0.23636363636363633,9.5,0.8902138157894737,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,23.0,0.6953125,RBC,0.16363636363636364,10.0,0.8902138157894737,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,24.0,0.76953125,RBC,-0.12727272727272726,10.5,0.8902138157894737,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,23.0,0.6953125,RBC,-0.16363636363636364,11.0,0.8902138157894737,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,27.0,1.0,RBC,0.018181818181818132,11.5,1.0,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,25.0,0.845703125,RBC,0.09090909090909088,12.0,0.8902138157894737,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,25.0,0.845703125,RBC,0.09090909090909088,12.5,0.8902138157894737,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,25.0,0.845703125,RBC,0.09090909090909088,13.0,0.8902138157894737,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,19.0,0.431640625,RBC,0.3090909090909091,13.5,0.750679347826087,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,12.0,0.130859375,RBC,0.5636363636363637,14.0,0.3489583333333333,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,10.0,0.083984375,RBC,0.6363636363636365,14.5,0.3245192307692308,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,12.0,0.130859375,RBC,0.5636363636363637,15.0,0.3489583333333333,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,19.0,0.431640625,RBC,0.3090909090909091,15.5,0.750679347826087,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,14.0,0.193359375,RBC,0.49090909090909096,16.0,0.4296875,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,11.0,0.10546875,RBC,0.6000000000000001,16.5,0.3245192307692308,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,18.0,0.375,RBC,0.34545454545454546,17.0,0.7142857142857143,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,14.0,0.193359375,RBC,0.49090909090909096,17.5,0.4296875,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,11.0,0.10546875,RBC,0.6000000000000001,18.0,0.3245192307692308,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,13.0,0.16015625,RBC,0.5272727272727273,18.5,0.400390625,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,17.0,0.322265625,RBC,0.38181818181818183,19.0,0.64453125,Benjamini-Hochberg FDR
10,wilcoxon signed-rank,25.0,0.845703125,RBC,0.09090909090909088,19.5,0.8902138157894737,Benjamini-Hochberg FDR
