,freq_bin,contra_control_power,optrode_power,subject
0,0.0,2.23298,1.6708384,0
1,0.0,1.4391272,1.2331265,1
2,0.0,1.2552333,1.2888713,2
3,0.0,1.3256899,1.3728156,3
4,0.0,1.3491102,1.1302811,4
5,0.0,1.5544422,1.3603337,5
6,0.0,1.6009151,1.3421866,6
7,0.0,1.4915818,1.3211303,7
8,0.0,1.2691841,1.0579778,8
9,0.0,1.329876,1.2432731,9
0,0.5,2.2820868,1.7250916,0
1,0.5,1.4192152,1.2197661,1
2,0.5,1.3022412,1.2660023,2
3,0.5,1.3403072,1.3831813,3
4,0.5,1.3152428,1.1282046,4
5,0.5,1.5229224,1.326712,5
6,0.5,1.6389884,1.3927695,6
7,0.5,1.4491795,1.2834362,7
8,0.5,1.2827436,1.108708,8
9,0.5,1.3163124,1.2468449,9
0,1.0,2.2826478,1.8259482,0
1,1.0,1.3896858,1.1918,1
2,1.0,1.3272309,1.1974134,2
3,1.0,1.2945676,1.3203228,3
4,1.0,1.3005389,1.1786956,4
5,1.0,1.4414402,1.2817217,5
6,1.0,1.6472659,1.4536731,6
7,1.0,1.3481145,1.2117825,7
8,1.0,1.2647208,1.2162015,8
9,1.0,1.280425,1.2286702,9
0,1.5,2.1010926,1.8123258,0
1,1.5,1.3722969,1.1700089,1
2,1.5,1.3048173,1.1229812,2
3,1.5,1.2504096,1.2243822,3
4,1.5,1.3191656,1.2343531,4
5,1.5,1.3838992,1.2771626,5
6,1.5,1.6214894,1.4805769,6
7,1.5,1.2515861,1.1573814,7
8,1.5,1.2367148,1.2516751,8
9,1.5,1.238493,1.2056255,9
0,2.0,1.8706797,1.7506858,0
1,2.0,1.3587745,1.1488607,1
2,2.0,1.3011914,1.0749558,2
3,2.0,1.3590931,1.2076046,3
4,2.0,1.3518026,1.279851,4
5,2.0,1.3362048,1.2565314,5
6,2.0,1.5775719,1.4681062,6
7,2.0,1.1830858,1.112232,7
8,2.0,1.2639532,1.2748443,8
9,2.0,1.2214295,1.2022943,9
0,2.5,1.7611316,1.7694739,0
1,2.5,1.3105706,1.0876516,1
2,2.5,1.3458899,1.0624878,2
3,2.5,1.3683901,1.1454251,3
4,2.5,1.3387783,1.2796007,4
5,2.5,1.2718062,1.21717,5
6,2.5,1.5632923,1.4392973,6
7,2.5,1.1154753,1.0490599,7
8,2.5,1.2995688,1.2891353,8
9,2.5,1.1847849,1.1655105,9
0,3.0,1.7236451,1.836248,0
1,3.0,1.26626,1.0437641,1
2,3.0,1.3966311,1.0973186,2
3,3.0,1.0670823,0.9320209,3
4,3.0,1.3293747,1.2672601,4
5,3.0,1.1915429,1.1471723,5
6,3.0,1.526509,1.3990217,6
7,3.0,1.0500433,1.0004169,7
8,3.0,1.2721595,1.2290616,8
9,3.0,1.1147003,1.0900205,9
0,3.5,1.6294048,1.7987754,0
1,3.5,1.2576572,1.0668291,1
2,3.5,1.3936749,1.1259369,2
3,3.5,0.9373731,0.8417415,3
4,3.5,1.3457069,1.2677494,4
5,3.5,1.1108214,1.0737311,5
6,3.5,1.48234,1.3889235,6
7,3.5,0.98529685,0.9347528,7
8,3.5,1.1860673,1.1142979,8
9,3.5,1.0638968,1.0278324,9
0,4.0,1.4462738,1.598311,0
1,4.0,1.2326174,1.0938108,1
2,4.0,1.2633654,1.0678124,2
3,4.0,1.0025189,0.9057413,3
4,4.0,1.3468406,1.2678987,4
5,4.0,1.0781102,1.0563389,5
6,4.0,1.4451323,1.3808967,6
7,4.0,0.9427605,0.8905332,7
8,4.0,1.1056583,1.0176164,8
9,4.0,1.0357105,1.0058867,9
0,4.5,1.3134016,1.4329629,0
1,4.5,1.1447716,1.084479,1
2,4.5,1.0933805,0.9787723,2
3,4.5,1.0702026,0.97703266,3
4,4.5,1.3098105,1.2517571,4
5,4.5,1.0557818,1.0479879,5
6,4.5,1.3778092,1.3374753,6
7,4.5,0.92929244,0.8844614,7
8,4.5,1.0597968,0.9534513,8
9,4.5,1.0105673,1.0114474,9
0,5.0,1.2536132,1.3453788,0
1,5.0,1.0723469,1.0926744,1
2,5.0,1.0220547,0.98411524,2
3,5.0,1.1096683,1.0107552,3
4,5.0,1.264054,1.2208332,4
5,5.0,1.0542184,1.0540322,5
6,5.0,1.3185084,1.2918065,6
7,5.0,0.9242304,0.9126515,7
8,5.0,1.0435631,0.9239093,8
9,5.0,1.0147557,1.0376793,9
0,5.5,1.1804396,1.2636387,0
1,5.5,1.0622402,1.1004412,1
2,5.5,1.0197634,1.0454797,2
3,5.5,1.082545,0.98149794,3
4,5.5,1.2359108,1.1856542,4
5,5.5,1.0420495,1.0362432,5
6,5.5,1.2516962,1.2365357,6
7,5.5,0.94511485,0.943878,7
8,5.5,1.0384513,0.9267942,8
9,5.5,1.03967,1.0613065,9
0,6.0,1.1391133,1.2318801,0
1,6.0,1.0655999,1.1085527,1
2,6.0,1.0065333,1.0565048,2
3,6.0,1.0090991,0.93306184,3
4,6.0,1.2178514,1.1688268,4
5,6.0,1.0296988,1.0260109,5
6,6.0,1.213139,1.2032944,6
7,6.0,0.974916,0.95297545,7
8,6.0,1.0527622,0.9396765,8
9,6.0,1.0336386,1.0572554,9
0,6.5,1.150891,1.2287029,0
1,6.5,1.0857197,1.1305337,1
2,6.5,0.99250597,1.0449322,2
3,6.5,0.95714986,0.93311024,3
4,6.5,1.2203884,1.1862792,4
5,6.5,1.0412326,1.0432622,5
6,6.5,1.1937735,1.1807594,6
7,6.5,0.98265123,0.96778184,7
8,6.5,1.0459796,0.95957035,8
9,6.5,1.0160334,1.0527189,9
0,7.0,1.1832838,1.230404,0
1,7.0,1.134418,1.1820188,1
2,7.0,1.0139368,1.0376011,2
3,7.0,0.99225175,0.9893155,3
4,7.0,1.2293793,1.189152,4
5,7.0,1.0406189,1.0441983,5
6,7.0,1.1752385,1.164085,6
7,7.0,0.97685444,0.9708095,7
8,7.0,1.0206522,0.9700734,8
9,7.0,1.0299267,1.0666193,9
0,7.5,1.2105405,1.2311625,0
1,7.5,1.1951209,1.2379935,1
2,7.5,1.0504385,1.0470161,2
3,7.5,1.0634323,1.0442821,3
4,7.5,1.199279,1.159773,4
5,7.5,1.0267951,1.0391349,5
6,7.5,1.1756659,1.1531961,6
7,7.5,0.97897065,0.9781159,7
8,7.5,1.0129684,0.97641635,8
9,7.5,1.077295,1.0957094,9
0,8.0,1.2247925,1.2480748,0
1,8.0,1.2552773,1.2808294,1
2,8.0,1.0794208,1.0645115,2
3,8.0,1.0910271,1.0609055,3
4,8.0,1.1719068,1.1482735,4
5,8.0,1.0222236,1.0539224,5
6,8.0,1.1588234,1.1364454,6
7,8.0,1.007461,0.99547803,7
8,8.0,1.0111917,0.99660623,8
9,8.0,1.0984329,1.1054664,9
0,8.5,1.2330236,1.2687087,0
1,8.5,1.2772225,1.303182,1
2,8.5,1.0800364,1.0666316,2
3,8.5,1.1045413,1.0822266,3
4,8.5,1.1899642,1.1679516,4
5,8.5,1.0331286,1.0636555,5
6,8.5,1.1553195,1.1436245,6
7,8.5,1.0415598,1.0287743,7
8,8.5,1.0182755,1.0322362,8
9,8.5,1.0843089,1.0920106,9
0,9.0,1.2323165,1.2558289,0
1,9.0,1.2597729,1.2974625,1
2,9.0,1.0741076,1.0717038,2
3,9.0,1.1471095,1.116957,3
