N,Test Type,Test Statistic,p-value-uncorrected,Effect Size Method,Effect Size,freq_bin,p-value-corrected,correction_method
6,wilcoxon signed-rank,8.0,0.6875,RBC,-0.23809523809523814,0.0,0.7638888888888888,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,8.0,0.6875,RBC,-0.23809523809523814,0.5,0.7638888888888888,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,10.0,1.0,RBC,-0.04761904761904767,1.0,1.0,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,7.0,0.5625,RBC,0.3333333333333333,1.5,0.6818181818181819,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,10.0,1.0,RBC,0.04761904761904767,2.0,1.0,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,5.0,0.3125,RBC,-0.5238095238095237,2.5,0.5,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,7.0,0.5625,RBC,-0.3333333333333333,3.0,0.6818181818181819,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,10.0,1.0,RBC,-0.04761904761904767,3.5,1.0,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,9.0,0.84375,RBC,0.14285714285714285,4.0,0.9121621621621622,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,7.0,0.5625,RBC,0.3333333333333333,4.5,0.6818181818181819,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,8.0,0.6875,RBC,0.23809523809523814,5.0,0.7638888888888888,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,6.0,0.4375,RBC,0.4285714285714286,5.5,0.5833333333333334,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,3.0,0.15625,RBC,0.7142857142857142,6.0,0.3472222222222222,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,4.0,0.21875,RBC,0.6190476190476191,6.5,0.41666666666666663,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,2.0,0.09375,RBC,0.8095238095238095,7.0,0.3125,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,1.0,0.0625,RBC,0.9047619047619047,7.5,0.3125,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,1.0,0.0625,RBC,0.9047619047619047,8.0,0.3125,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,1.0,0.0625,RBC,0.9047619047619047,8.5,0.3125,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,2.0,0.09375,RBC,0.8095238095238095,9.0,0.3125,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,3.0,0.15625,RBC,0.7142857142857142,9.5,0.3472222222222222,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,2.0,0.09375,RBC,0.8095238095238095,10.0,0.3125,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,1.0,0.0625,RBC,0.9047619047619047,10.5,0.3125,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,1.0,0.0625,RBC,0.9047619047619047,11.0,0.3125,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,2.0,0.09375,RBC,0.8095238095238095,11.5,0.3125,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,2.0,0.09375,RBC,0.8095238095238095,12.0,0.3125,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,2.0,0.09375,RBC,0.8095238095238095,12.5,0.3125,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,3.0,0.15625,RBC,0.7142857142857142,13.0,0.3472222222222222,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,3.0,0.15625,RBC,0.7142857142857142,13.5,0.3472222222222222,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,2.0,0.09375,RBC,0.8095238095238095,14.0,0.3125,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,3.0,0.15625,RBC,0.7142857142857142,14.5,0.3472222222222222,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,4.0,0.21875,RBC,0.6190476190476191,15.0,0.41666666666666663,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,6.0,0.4375,RBC,0.4285714285714286,15.5,0.5833333333333334,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,6.0,0.4375,RBC,0.4285714285714286,16.0,0.5833333333333334,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,5.0,0.3125,RBC,0.5238095238095237,16.5,0.5,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,5.0,0.3125,RBC,0.5238095238095237,17.0,0.5,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,4.0,0.21875,RBC,0.6190476190476191,17.5,0.41666666666666663,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,5.0,0.3125,RBC,0.5238095238095237,18.0,0.5,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,6.0,0.4375,RBC,0.4285714285714286,18.5,0.5833333333333334,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,6.0,0.4375,RBC,0.4285714285714286,19.0,0.5833333333333334,Benjamini-Hochberg FDR
6,wilcoxon signed-rank,3.0,0.15625,RBC,0.7142857142857142,19.5,0.3472222222222222,Benjamini-Hochberg FDR
