,freq_bin,contra_control_power,optrode_power,subject
0,0.0,1.788209,1.492042,0
1,0.0,1.8391923,2.0609245,1
2,0.0,1.5437624,1.6514654,2
3,0.0,1.6773546,1.4619168,3
4,0.0,1.2122095,1.736493,4
5,0.0,2.1248536,2.2408352,5
0,0.5,1.7982494,1.5316349,0
1,0.5,1.8809515,2.066864,1
2,0.5,1.5501422,1.6464921,2
3,0.5,1.7288293,1.5791452,3
4,0.5,1.2727191,1.7783093,4
5,0.5,2.181299,2.2394638,5
0,1.0,1.8158935,1.6221557,0
1,1.0,1.9557999,2.0803103,1
2,1.0,1.5870793,1.6109443,2
3,1.0,1.8206205,1.7691784,3
4,1.0,1.5517089,1.8841482,4
5,1.0,2.2959554,2.1775112,5
0,1.5,1.776639,1.6588376,0
1,1.5,2.0005105,2.0455697,1
2,1.5,1.5649562,1.5163103,2
3,1.5,1.8201672,1.814971,3
4,1.5,1.7303233,1.8607283,4
5,1.5,2.2320108,2.018531,5
0,2.0,1.6630247,1.6548811,0
1,2.0,2.0077167,2.0239532,1
2,2.0,1.5512706,1.4705548,2
3,2.0,1.7521317,1.7899514,3
4,2.0,1.7348164,1.8380342,4
5,2.0,2.0626438,1.9170843,5
0,2.5,1.6093255,1.7186128,0
1,2.5,1.980101,2.0178163,1
2,2.5,1.6699693,1.5953095,2
3,2.5,1.6637838,1.7404488,3
4,2.5,1.7322361,1.8551403,4
5,2.5,1.8736125,1.8231134,5
0,3.0,1.6601583,1.8344723,0
1,3.0,1.9928371,2.008137,1
2,3.0,1.7641588,1.7191714,2
3,3.0,1.567754,1.5913455,3
4,3.0,1.6344955,1.8192385,4
5,3.0,1.826627,1.7537538,5
0,3.5,1.6445127,1.8348204,0
1,3.5,1.9391903,1.9025887,1
2,3.5,1.7399595,1.7097942,2
3,3.5,1.5340084,1.5015283,3
4,3.5,1.5115247,1.6732793,4
5,3.5,1.8181531,1.6833458,5
0,4.0,1.4939799,1.6713711,0
1,4.0,1.8068553,1.7407366,1
2,4.0,1.6150934,1.593144,2
3,4.0,1.5106645,1.49412,3
4,4.0,1.5067084,1.5688397,4
5,4.0,1.7302045,1.5691804,5
0,4.5,1.3578038,1.5156021,0
1,4.5,1.6564121,1.6105874,1
2,4.5,1.4817895,1.4698272,2
3,4.5,1.4094009,1.4167874,3
4,4.5,1.5825328,1.5699852,4
5,4.5,1.6215912,1.466512,5
0,5.0,1.3006505,1.4287698,0
1,5.0,1.5411664,1.5166914,1
2,5.0,1.4452155,1.4355001,2
3,5.0,1.3162777,1.3300705,3
4,5.0,1.5865676,1.5485196,4
5,5.0,1.4759085,1.3573537,5
0,5.5,1.2667063,1.3458765,0
1,5.5,1.4780729,1.4399222,1
2,5.5,1.4006004,1.3647108,2
3,5.5,1.2279322,1.236942,3
4,5.5,1.5232544,1.4731666,4
5,5.5,1.3786411,1.2765814,5
0,6.0,1.2342331,1.2610459,0
1,6.0,1.4377041,1.4079825,1
2,6.0,1.3300456,1.2580462,2
3,6.0,1.1378205,1.141935,3
4,6.0,1.4209758,1.3592904,4
5,6.0,1.3472073,1.2551391,5
0,6.5,1.2144487,1.2278678,0
1,6.5,1.4088306,1.3961669,1
2,6.5,1.2918996,1.2258492,2
3,6.5,1.081058,1.0817746,3
4,6.5,1.3380886,1.2934955,4
5,6.5,1.3194966,1.2245936,5
0,7.0,1.2291545,1.2286198,0
1,7.0,1.3969164,1.3749303,1
2,7.0,1.2682123,1.2215697,2
3,7.0,1.081293,1.0862231,3
4,7.0,1.3081139,1.2583688,4
5,7.0,1.3134212,1.2082617,5
0,7.5,1.2532592,1.2259061,0
1,7.5,1.3865135,1.3594244,1
2,7.5,1.2600069,1.1935164,2
3,7.5,1.0949461,1.1055222,3
4,7.5,1.3149893,1.2577093,4
5,7.5,1.2901032,1.1936177,5
0,8.0,1.2390692,1.1967622,0
1,8.0,1.3358043,1.3050439,1
2,8.0,1.2619101,1.1727409,2
3,8.0,1.0913448,1.107293,3
4,8.0,1.3534024,1.2969259,4
5,8.0,1.2667388,1.1740267,5
0,8.5,1.2201215,1.1859261,0
1,8.5,1.3479584,1.3149066,1
2,8.5,1.2577559,1.152723,2
3,8.5,1.1153716,1.1284267,3
4,8.5,1.4048817,1.3313416,4
5,8.5,1.2726065,1.184313,5
0,9.0,1.2349621,1.1880665,0
1,9.0,1.4086684,1.407288,1
2,9.0,1.2631961,1.1336839,2
3,9.0,1.163874,1.1846452,3
