,freq_bin,contra_control_power,optrode_power,subject
0,0.0,2.232988,1.6708436,0
1,0.0,1.6009179,1.3421876,1
2,0.0,1.491584,1.3211327,2
3,0.0,1.2691858,1.05798,3
4,0.0,1.3230363,1.2273004,4
0,0.5,2.2820864,1.7250931,0
1,0.5,1.6389899,1.3927699,1
2,0.5,1.4491805,1.2834367,2
3,0.5,1.2827442,1.1087081,3
4,0.5,1.3146384,1.2358238,4
0,1.0,2.2826486,1.8259484,0
1,1.0,1.647265,1.4536734,1
2,1.0,1.3481134,1.2117826,2
3,1.0,1.2647216,1.2162017,3
4,1.0,1.28005,1.2209122,4
0,1.5,2.101091,1.8123279,0
1,1.5,1.6214871,1.4805775,1
2,1.5,1.2515862,1.1573824,2
3,1.5,1.2367159,1.251676,3
4,1.5,1.2328993,1.1972611,4
0,2.0,1.8706782,1.7506897,0
1,2.0,1.5775719,1.4681054,1
2,2.0,1.1830859,1.112232,2
3,2.0,1.2639529,1.2748454,3
4,2.0,1.211684,1.1927524,4
0,2.5,1.7611332,1.7694728,0
1,2.5,1.5632926,1.4392984,1
2,2.5,1.1154755,1.0490599,2
3,2.5,1.2995701,1.2891352,3
4,2.5,1.1739874,1.1560794,4
0,3.0,1.723644,1.836247,0
1,3.0,1.5265101,1.3990229,1
2,3.0,1.0500442,1.0004163,2
3,3.0,1.2721611,1.229061,3
4,3.0,1.1053936,1.0805814,4
0,3.5,1.6294056,1.7987766,0
1,3.5,1.4823395,1.3889228,1
2,3.5,0.9852971,0.93475306,2
3,3.5,1.1860676,1.1142983,3
4,3.5,1.0581408,1.0197539,4
0,4.0,1.4462733,1.598311,0
1,4.0,1.4451321,1.3808954,1
2,4.0,0.9427608,0.89053273,2
3,4.0,1.1056576,1.0176152,3
4,4.0,1.0352199,1.0014653,4
0,4.5,1.3134017,1.432962,0
1,4.5,1.3778095,1.3374746,1
2,4.5,0.9292921,0.8844619,2
3,4.5,1.0597965,0.9534508,3
4,4.5,1.0122554,1.0103409,4
0,5.0,1.2536128,1.3453792,0
1,5.0,1.3185086,1.2918067,1
2,5.0,0.92423105,0.9126518,2
3,5.0,1.0435638,0.9239092,3
4,5.0,1.0137619,1.0369927,4
0,5.5,1.1804397,1.2636386,0
1,5.5,1.2516973,1.2365363,1
2,5.5,0.945114,0.94387776,2
3,5.5,1.0384526,0.926795,3
4,5.5,1.038329,1.0593426,4
0,6.0,1.1391134,1.2318802,0
1,6.0,1.2131401,1.2032946,1
2,6.0,0.97491485,0.95297486,2
3,6.0,1.0527606,0.9396773,3
4,6.0,1.0344914,1.0555456,4
0,6.5,1.1508912,1.2287029,0
1,6.5,1.1937736,1.1807595,1
2,6.5,0.9826508,0.9677813,2
3,6.5,1.0459788,0.9595698,3
4,6.5,1.017407,1.0503881,4
0,7.0,1.1832838,1.2304034,0
1,7.0,1.1752377,1.1640842,1
2,7.0,0.97685456,0.97080964,2
3,7.0,1.0206523,0.970073,3
4,7.0,1.0314271,1.0645765,4
0,7.5,1.2105415,1.2311611,0
1,7.5,1.1756656,1.1531956,1
2,7.5,0.9789708,0.9781162,2
3,7.5,1.0129681,0.97641563,3
4,7.5,1.0786237,1.0931699,4
0,8.0,1.2247936,1.2480737,0
1,8.0,1.1588238,1.1364449,1
2,8.0,1.0074614,0.9954784,2
3,8.0,1.0111911,0.99660546,3
4,8.0,1.1006877,1.1023127,4
0,8.5,1.2330229,1.2687091,0
1,8.5,1.1553196,1.1436251,1
2,8.5,1.0415598,1.0287751,2
3,8.5,1.018275,1.0322351,3
4,8.5,1.0868707,1.0904201,4
0,9.0,1.2323159,1.2558286,0
1,9.0,1.1653005,1.1477813,1
2,9.0,1.07054,1.0567602,2
3,9.0,1.0443925,1.0480387,3
4,9.0,1.0836313,1.0883905,4
0,9.5,1.2042487,1.2051002,0
1,9.5,1.1713684,1.1462806,1
2,9.5,1.0792419,1.0652388,2
