,freq_bin,contra_control_power,optrode_power,subject
0,0.0,2.2335248,1.4726608,0
1,0.0,2.0742004,1.4716003,1
2,0.0,2.7354152,1.745056,2
3,0.0,2.0937083,1.5291483,3
4,0.0,3.0160346,1.8094229,4
5,0.0,1.5367513,1.2281467,5
6,0.0,1.2213869,1.1277832,6
7,0.0,2.136926,1.7166826,7
8,0.0,1.6019198,1.4505291,8
0,0.5,2.1186538,1.4550377,0
1,0.5,2.065955,1.4859588,1
2,0.5,2.740847,1.8042048,2
3,0.5,2.066304,1.5186653,3
4,0.5,2.9731812,1.8138523,4
5,0.5,1.5714515,1.2569581,5
6,0.5,1.2681229,1.1443179,6
7,0.5,2.1155226,1.7340517,7
8,0.5,1.6318364,1.4524579,8
0,1.0,1.9438682,1.4316294,0
1,1.0,2.0914056,1.5370939,1
2,1.0,2.6496594,1.9025376,2
3,1.0,1.992721,1.5529108,3
4,1.0,2.869468,1.8793539,4
5,1.0,1.6149989,1.3304337,5
6,1.0,1.3490167,1.1815423,6
7,1.0,2.0555184,1.7610328,7
8,1.0,1.5459466,1.3441204,8
0,1.5,1.786777,1.393784,0
1,1.5,2.1123154,1.6126101,1
2,1.5,2.483083,1.9217995,2
3,1.5,1.8658303,1.5945239,3
4,1.5,2.6443655,1.9249542,4
5,1.5,1.6009997,1.3614843,5
6,1.5,1.3866104,1.1902282,6
7,1.5,1.9684888,1.7553941,7
8,1.5,1.3745202,1.2179195,8
0,2.0,1.7630092,1.3707447,0
1,2.0,2.0391312,1.6560313,1
2,2.0,2.1842864,1.7875266,2
3,2.0,1.6246881,1.5350738,3
4,2.0,2.441229,1.9422065,4
5,2.0,1.5296364,1.3480971,5
6,2.0,1.3458601,1.1533262,6
7,2.0,1.9158213,1.7721457,7
8,2.0,1.2168117,1.1459401,8
0,2.5,1.8573714,1.3652098,0
1,2.5,1.9385276,1.692335,1
2,2.5,2.0191224,1.7536004,2
3,2.5,1.3433203,1.3719007,3
4,2.5,2.3335068,1.9456055,4
5,2.5,1.4914364,1.3805928,5
6,2.5,1.2602195,1.1172712,6
7,2.5,1.8831859,1.7918079,7
8,2.5,1.1625512,1.1354918,8
0,3.0,1.8528651,1.4063733,0
1,3.0,1.8280979,1.6288587,1
2,3.0,2.3095798,2.198409,2
3,3.0,1.3851141,1.3840265,3
4,3.0,2.210741,1.881827,4
5,3.0,1.4260664,1.3431098,5
6,3.0,1.213674,1.1232476,6
7,3.0,1.8239697,1.7585137,7
8,3.0,1.1973395,1.1495192,8
0,3.5,1.6996975,1.4645269,0
1,3.5,1.7048165,1.51831,1
2,3.5,2.6377482,2.7233803,2
3,3.5,1.660682,1.521412,3
4,3.5,2.0839298,1.7775822,4
5,3.5,1.3525709,1.2742391,5
6,3.5,1.1838205,1.1126512,6
7,3.5,1.7447343,1.6941437,7
8,3.5,1.2242928,1.1502488,8
0,4.0,1.5526624,1.4425632,0
1,4.0,1.6291075,1.4656224,1
2,4.0,2.3229558,2.26734,2
3,4.0,1.6510456,1.4766532,3
4,4.0,2.0445151,1.7346969,4
5,4.0,1.3483833,1.2565633,5
6,4.0,1.159548,1.082219,6
7,4.0,1.662912,1.6114571,7
8,4.0,1.1998693,1.1332402,8
0,4.5,1.4711747,1.397966,0
1,4.5,1.6003104,1.4618049,1
2,4.5,1.891431,1.6739014,2
3,4.5,1.4503721,1.3649008,3
4,4.5,2.0049229,1.7132244,4
5,4.5,1.3572811,1.2840037,5
6,4.5,1.1562176,1.0903302,6
7,4.5,1.5804068,1.5163335,7
8,4.5,1.1468567,1.1040252,8
0,5.0,1.4217205,1.3548137,0
1,5.0,1.558451,1.4507606,1
2,5.0,1.6684779,1.4530586,2
3,5.0,1.370467,1.3182571,3
4,5.0,1.9053259,1.6293827,4
5,5.0,1.3656703,1.3185468,5
6,5.0,1.1628207,1.1105632,6
7,5.0,1.4977638,1.4365053,7
8,5.0,1.1225971,1.0949771,8
0,5.5,1.3927189,1.3285964,0
1,5.5,1.4749475,1.3935138,1
2,5.5,1.6272172,1.4387454,2
3,5.5,1.3337052,1.2952359,3
4,5.5,1.7660521,1.5308448,4
5,5.5,1.354262,1.3050435,5
6,5.5,1.1617967,1.1176192,6
7,5.5,1.4038877,1.3606074,7
8,5.5,1.1239134,1.1007267,8
0,6.0,1.3735783,1.323496,0
1,6.0,1.3975793,1.3411603,1
2,6.0,1.6749005,1.4946022,2
3,6.0,1.3363199,1.3077781,3
4,6.0,1.6310185,1.4325913,4
5,6.0,1.293349,1.2352256,5
6,6.0,1.1531148,1.1131835,6
7,6.0,1.3463194,1.3081061,7
8,6.0,1.0985106,1.0892379,8
0,6.5,1.362462,1.3353411,0
1,6.5,1.3260133,1.2926954,1
2,6.5,1.6768395,1.4888519,2
3,6.5,1.3921702,1.346887,3
4,6.5,1.5502512,1.3586448,4
5,6.5,1.2571675,1.2028483,5
6,6.5,1.1587365,1.1218911,6
7,6.5,1.3290988,1.3100973,7
8,6.5,1.0787734,1.0663741,8
0,7.0,1.3359177,1.3295792,0
