,freq_bin,contra_control_power,optrode_power,subject
0,0.0,1.7417846,1.6666439,0
1,0.0,1.1094098,1.3769034,1
2,0.0,0.99009454,1.1827608,2
3,0.0,1.059108,1.3851873,3
4,0.0,1.6211119,1.4870515,4
0,0.5,1.7766689,1.6893803,0
1,0.5,1.1586586,1.3793609,1
2,0.5,1.018391,1.2260007,2
3,0.5,1.0449849,1.3440832,3
4,0.5,1.6217101,1.5069951,4
0,1.0,1.8351696,1.7662085,0
1,1.0,1.2668253,1.3755605,1
2,1.0,1.1731975,1.2794036,2
3,1.0,1.0342637,1.2806972,3
4,1.0,1.6090678,1.5563036,4
0,1.5,1.8410556,1.8365626,0
1,1.5,1.3274003,1.3479214,1
2,1.5,1.2935634,1.3268315,2
3,1.5,1.0685999,1.2604812,3
4,1.5,1.6345065,1.61309,4
0,2.0,1.8181479,1.8848279,0
1,2.0,1.3282856,1.2913375,1
2,2.0,1.3395957,1.3567058,2
3,2.0,1.1227956,1.2666094,3
4,2.0,1.7341622,1.7397155,4
0,2.5,1.7210565,1.773194,0
1,2.5,1.3087484,1.2223063,1
2,2.5,1.3254325,1.3245615,2
3,2.5,1.1609527,1.269568,3
4,2.5,1.7793634,1.8256834,4
0,3.0,1.5493371,1.5650687,0
1,3.0,1.3221953,1.2204723,1
2,3.0,1.2926902,1.2778033,2
3,3.0,1.1652929,1.274923,3
4,3.0,1.7662573,1.8781905,4
0,3.5,1.473961,1.5292015,0
1,3.5,1.3106576,1.2375052,1
2,3.5,1.3178554,1.305099,2
3,3.5,1.1347694,1.2350533,3
4,3.5,1.6802776,1.79908,4
0,4.0,1.4949756,1.640803,0
1,4.0,1.2484894,1.1993816,1
2,4.0,1.3437049,1.3363365,2
3,4.0,1.1240203,1.192247,3
4,4.0,1.5831803,1.6544944,4
0,4.5,1.4744653,1.6450986,0
1,4.5,1.2130681,1.1535269,1
2,4.5,1.3223059,1.2976276,2
3,4.5,1.1236624,1.1796625,3
4,4.5,1.5088184,1.5296859,4
0,5.0,1.3944393,1.5576929,0
1,5.0,1.1691576,1.1085083,1
2,5.0,1.2529386,1.2175025,2
3,5.0,1.0778855,1.1368712,3
4,5.0,1.406835,1.4004726,4
0,5.5,1.323922,1.4651389,0
1,5.5,1.1402951,1.0955701,1
2,5.5,1.1614869,1.1527951,2
3,5.5,1.0576444,1.1014516,3
4,5.5,1.3178793,1.3087008,4
0,6.0,1.2542951,1.3665632,0
1,6.0,1.1341238,1.0961756,1
2,6.0,1.0719432,1.0868684,2
3,6.0,1.0509582,1.0759457,3
4,6.0,1.2843705,1.2849185,4
0,6.5,1.2344128,1.3287659,0
1,6.5,1.1166579,1.0977603,1
2,6.5,1.0185685,1.0465034,2
3,6.5,1.0227249,1.0466514,3
4,6.5,1.2706614,1.2687055,4
