,freq_bin,contra_control_power,optrode_power,subject
0,0.0,1.9180903,1.59476,0
1,0.0,1.3956141,1.3622478,1
2,0.0,1.1993644,1.199156,2
3,0.0,1.1706581,1.0177976,3
4,0.0,1.5023421,1.3935761,4
0,0.5,1.9315455,1.6081729,0
1,0.5,1.4300256,1.3832828,1
2,0.5,1.201226,1.1890321,2
3,0.5,1.1726314,1.047325,3
4,0.5,1.4509151,1.3561231,4
0,1.0,1.8360606,1.6114131,0
1,1.0,1.513612,1.4436758,1
2,1.0,1.2151558,1.1763328,2
3,1.0,1.2213188,1.21683,3
4,1.0,1.3747659,1.2713761,4
0,1.5,1.6648321,1.5681784,0
1,1.5,1.5483291,1.4697092,1
2,1.5,1.2264957,1.1562029,2
3,1.5,1.2882894,1.3433291,3
4,1.5,1.3206384,1.2507789,4
0,2.0,1.521889,1.5356348,0
1,2.0,1.5364921,1.4542791,1
2,2.0,1.23554,1.1645883,2
3,2.0,1.3640261,1.3959341,3
4,2.0,1.2904968,1.3700013,4
0,2.5,1.4242063,1.4908679,0
1,2.5,1.5499464,1.4606209,1
2,2.5,1.2398582,1.1909363,2
3,2.5,1.3730512,1.3856906,3
4,2.5,1.2387251,1.4020386,4
0,3.0,1.334434,1.4194082,0
1,3.0,1.5265383,1.4574801,1
2,3.0,1.2269446,1.1913838,2
3,3.0,1.334764,1.3442818,3
4,3.0,1.1495664,1.1562624,4
0,3.5,1.214972,1.3256692,0
1,3.5,1.468813,1.4273107,1
2,3.5,1.1837447,1.1421438,2
3,3.5,1.2844795,1.2805368,3
4,3.5,1.0890951,0.98947775,4
0,4.0,1.1052686,1.223548,0
1,4.0,1.4079437,1.3838241,1
2,4.0,1.1486827,1.0997138,2
3,4.0,1.2188545,1.1901482,3
4,4.0,1.0640124,0.98003936,4
0,4.5,1.0328307,1.1509466,0
1,4.5,1.3218087,1.3211199,1
2,4.5,1.15024,1.0884069,2
3,4.5,1.1615285,1.0969021,3
4,4.5,1.0551231,1.0046177,4
0,5.0,0.9672838,1.081546,0
1,5.0,1.2695093,1.2722104,1
2,5.0,1.1604985,1.0813435,2
3,5.0,1.1119096,1.0466588,3
4,5.0,1.0520444,1.0200839,4
0,5.5,0.9259158,1.0253282,0
1,5.5,1.2418312,1.2432644,1
2,5.5,1.1379082,1.0804081,2
3,5.5,1.088111,1.0301831,3
4,5.5,1.065476,1.042966,4
0,6.0,0.9248548,0.9981045,0
1,6.0,1.1989951,1.1912735,1
2,6.0,1.0953333,1.0899931,2
3,6.0,1.0809264,1.0138845,3
4,6.0,1.1104883,1.0894758,4
0,6.5,0.9531511,1.012573,0
1,6.5,1.1936268,1.1679475,1
2,6.5,1.0767636,1.0989363,2
